=== Data Simulasi Laju Pendinginan ===

Waktu (unit) | Laju 0.05 | Laju 0.1 | Laju 0.15
14.20 | 61.81 | 43.00 | 33.77
14.30 | 61.62 | 42.82 | 33.64
14.40 | 61.44 | 42.64 | 33.51
14.50 | 61.26 | 42.46 | 33.38
14.60 | 61.08 | 42.29 | 33.26
14.70 | 60.90 | 42.12 | 33.13
14.80 | 60.72 | 41.95 | 33.01
14.90 | 60.54 | 41.78 | 32.89
15.00 | 60.36 | 41.61 | 32.77
15.10 | 60.18 | 41.44 | 32.65
15.20 | 60.01 | 41.28 | 32.54
15.30 | 59.83 | 41.12 | 32.43
15.40 | 59.66 | 40.95 | 32.32
15.50 | 59.49 | 40.79 | 32.21
15.60 | 59.31 | 40.64 | 32.10
15.70 | 59.14 | 40.48 | 31.99
15.80 | 58.97 | 40.33 | 31.89
15.90 | 58.80 | 40.17 | 31.78
16.00 | 58.63 | 40.02 | 31.68
16.10 | 58.46 | 39.87 | 31.58
16.20 | 58.30 | 39.72 | 31.48
16.30 | 58.13 | 39.57 | 31.39
16.40 | 57.96 | 39.43 | 31.29
16.50 | 57.80 | 39.28 | 31.19
16.60 | 57.64 | 39.14 | 31.10
16.70 | 57.47 | 39.00 | 31.01
16.80 | 57.31 | 38.86 | 30.92
16.90 | 57.15 | 38.72 | 30.83
17.00 | 56.99 | 38.58 | 30.74
17.10 | 56.83 | 38.45 | 30.66
17.20 | 56.67 | 38.31 | 30.57
17.30 | 56.51 | 38.18 | 30.49
17.40 | 56.35 | 38.05 | 30.41
17.50 | 56.20 | 37.92 | 30.33
17.60 | 56.04 | 37.79 | 30.25
17.70 | 55.88 | 37.66 | 30.17
17.80 | 55.73 | 37.54 | 30.09
17.90 | 55.58 | 37.41 | 30.01
18.00 | 55.42 | 37.29 | 29.94
18.10 | 55.27 | 37.16 | 29.86
18.20 | 55.12 | 37.04 | 29.79
18.30 | 54.97 | 36.92 | 29.72
18.40 | 54.82 | 36.80 | 29.65
18.50 | 54.67 | 36.68 | 29.58
18.60 | 54.52 | 36.57 | 29.51
18.70 | 54.37 | 36.45 | 29.44
18.80 | 54.23 | 36.34 | 29.38
18.90 | 54.08 | 36.22 | 29.31
19.00 | 53.94 | 36.11 | 29.25
19.10 | 53.79 | 36.00 | 29.18
19.20 | 53.65 | 35.89 | 29.12
19.30 | 53.50 | 35.78 | 29.06
19.40 | 53.36 | 35.67 | 29.00
19.50 | 53.22 | 35.57 | 28.94
19.60 | 53.08 | 35.46 | 28.88
19.70 | 52.94 | 35.36 | 28.82
19.80 | 52.80 | 35.25 | 28.76
19.90 | 52.66 | 35.15 | 28.71
